,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
Q3ZCQ8,3,,,,3,2,,,,,,,2,,,,,,,,3,,4,,3,,,3,,4,3,,,
Q9UI47,6,4,5,3,3,3,2,3,5,5,5,4,4,6,4,4,8,5,7,6,2,7,3,3,4,2,5,4,2,4,5,4,2,4
P13639,7,7,4,9,8,8,8,9,9,8,7,7,8,12,6,9,10,7,7,11,8,8,6,9,17,4,7,10,8,6,8,6,7,7
O75112,11,16,17,15,9,12,13,8,22,8,10,16,8,17,11,17,16,11,17,15,14,10,11,10,7,18,10,16,15,13,9,12,11,15
P55809,7,5,9,11,4,7,8,6,11,8,7,9,6,8,4,7,12,10,8,6,10,7,10,5,10,8,8,9,4,11,9,9,7,6
P07585,4,6,3,7,4,2,3,2,2,2,3,4,4,5,2,7,5,2,4,3,3,,,,4,5,5,4,7,,5,3,2,5
O14561,3,3,,,,,3,,3,,,4,,,,3,,,,,3,2,,,,4,,3,,,,,,4
P04843,4,2,2,,3,,,3,,4,3,3,2,,2,2,2,5,,3,,2,3,2,4,,4,,3,3,2,4,3,
P07339,4,5,5,5,5,3,2,6,3,3,5,5,3,4,2,4,2,3,3,3,4,3,4,2,5,2,2,2,2,5,4,4,3,4
P11177,3,2,,,2,2,,,,2,2,2,2,,2,2,,2,,2,2,2,,2,3,2,2,2,2,3,2,2,2,
P51884,3,11,7,6,2,7,4,,6,5,3,2,3,5,2,6,8,6,6,5,7,3,7,,3,10,3,5,6,8,5,4,3,8
Q9UHQ9,2,2,,3,2,,2,2,,2,4,3,,,3,,,4,,4,3,4,3,,3,,2,4,2,3,2,4,4,2
O43772,2,,,,,,,2,,,,4,,,3,3,3,,3,,3,,2,,,,2,2,,2,,,2,2
Q9HCC0,5,6,6,5,5,6,7,6,8,4,6,7,,7,5,6,6,6,7,6,7,6,4,5,8,2,4,4,4,4,5,5,4,6
P22307,4,4,4,3,,,5,2,4,2,,6,2,6,,7,,2,4,4,6,2,,2,,6,2,3,2,2,,2,3,4
O95747,3,,,,2,,3,,,3,,2,,,,,,,,,2,3,,,,,,,2,3,,2,,
P16671,7,6,4,7,8,3,4,6,5,14,7,4,4,6,2,6,3,11,,4,5,10,4,7,6,5,6,5,6,5,10,5,6,3
Q15118,2,5,2,,2,3,2,2,,2,3,3,2,3,2,3,3,4,,2,,,2,2,3,2,2,4,,2,3,3,2,2
P50213,7,5,5,3,5,7,5,6,5,6,4,6,5,4,5,4,,6,4,4,8,5,,5,5,5,4,5,5,6,4,5,8,4
P53597,2,,3,4,2,2,4,2,3,,3,2,2,4,,4,2,3,4,3,5,2,,,2,3,2,4,,,3,,2,4
Q86X76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,,
Q02252,5,3,5,6,7,7,5,7,7,9,9,8,8,2,8,6,8,5,4,7,5,8,4,9,11,6,3,9,7,5,10,7,6,4
Q9NWU1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
P13861,4,,,,3,,,2,,2,3,,3,,2,,,,,,3,2,,3,,,2,,,,2,,,
P09110,2,,,,,,,2,,,,,,,,3,,,,,,,,,,2,,2,,,,,,
P15121,3,5,5,4,4,5,5,2,4,2,4,5,2,4,,3,3,5,9,3,5,2,5,3,4,2,2,4,3,6,4,3,4,4
Q99959,6,4,5,7,7,6,7,9,4,7,5,8,4,7,10,9,7,5,4,9,8,7,5,7,11,6,7,8,8,5,3,7,6,7
P23368,4,3,2,5,6,5,6,7,4,4,6,3,4,3,3,4,2,4,3,3,3,6,3,5,4,4,5,,5,3,4,6,5,
Q9Y697,4,5,4,4,2,3,5,,4,,3,4,,4,,5,4,4,4,4,5,2,,2,2,4,4,6,2,6,3,,2,5
P62495,2,,,4,4,2,3,4,,4,3,3,5,2,2,2,,3,2,2,,3,4,2,5,,3,,2,2,2,3,2,2
P45954,3,5,3,4,,4,6,,5,3,2,5,3,3,5,4,5,3,5,4,3,4,3,6,2,3,5,3,3,4,4,4,3,4
P13807,4,10,7,8,6,4,10,4,7,5,4,7,3,12,6,4,7,10,6,8,10,6,3,4,5,,4,4,7,4,8,6,4,3
O95810,2,3,3,2,,3,2,,2,,2,2,,,3,2,4,2,2,2,2,,2,3,2,4,2,2,,3,,2,,2
Q9NUB1,6,4,3,5,6,4,6,4,3,4,5,7,5,5,3,5,2,5,4,4,8,4,4,3,5,2,5,3,3,4,8,5,3,5
Q86WU2,4,,2,,,,,,2,,,,,2,,,,,2,2,,,,,2,,2,,2,3,,,2,2
P23381,3,3,6,3,,3,2,,3,4,3,2,3,3,,4,4,5,3,3,,2,2,4,6,4,3,4,3,3,3,3,3,2
P13473,2,,,,2,3,,2,,3,2,,2,,,,,,,2,2,2,2,3,3,2,3,2,,,3,2,3,
Q9UNZ2,4,3,3,3,2,2,3,,3,,,,,,,4,4,2,4,3,,2,3,2,2,,2,3,,2,,,2,3
Q8N335,2,4,4,5,4,4,6,4,3,3,5,8,3,9,,3,4,3,6,6,2,4,,4,5,5,4,8,3,2,3,4,5,3
P35573,11,12,12,16,15,10,17,17,15,11,14,19,8,18,12,9,10,12,12,22,19,10,7,14,14,4,12,14,7,8,12,11,13,2
P05155,2,4,3,,,,,,4,,,2,,,,2,4,,7,,5,,,,,3,,4,,,,,,4
O00429,4,4,2,4,5,6,,4,3,3,3,3,6,4,4,3,,4,,2,4,5,3,6,5,3,4,3,4,7,3,4,5,2
P60900,2,4,4,5,3,2,5,3,2,3,4,6,3,7,3,3,3,2,2,3,5,,2,2,2,2,,5,5,2,4,2,2,4
P52179,11,10,24,20,17,21,17,13,16,16,18,19,19,19,21,20,29,16,17,21,21,21,8,19,15,8,18,20,10,12,14,18,16,20
Q8WUM4,8,3,9,8,4,3,6,6,5,8,5,7,7,12,4,8,5,5,5,8,9,4,4,7,8,5,3,6,3,4,4,6,6,5
P55290,5,2,4,3,3,3,3,3,2,6,6,5,4,4,4,4,5,4,6,4,4,6,3,3,4,2,5,4,2,3,4,5,3,4
P50995,2,4,6,2,6,9,4,4,,6,7,4,11,4,4,,7,10,4,3,5,9,4,5,6,4,7,4,3,8,7,5,6,4
P11766,2,3,2,,4,4,,2,4,3,5,2,,,3,,4,2,3,2,3,4,,3,4,3,2,2,3,2,3,3,3,
Q15365,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11586,4,3,,3,7,5,2,5,3,4,4,5,5,5,4,5,2,4,2,3,5,,6,6,6,3,5,2,2,4,4,4,7,4
P22033,3,,2,3,5,5,4,6,5,6,4,4,4,2,4,5,,5,,4,4,4,,5,6,4,7,2,,2,7,4,6,
O43237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14315,14,24,21,21,15,21,27,17,22,18,22,24,10,27,27,15,22,30,23,38,31,28,13,17,44,14,23,19,14,18,12,23,16,13
Q00610,10,11,11,13,13,13,18,13,12,12,14,15,17,16,11,11,17,15,9,21,15,19,10,15,17,9,11,16,10,20,15,22,17,12
P07602,8,,,4,5,2,,,,,3,4,,4,,3,4,4,4,3,4,2,4,,2,4,,4,,4,2,,,
Q14108,2,2,,,2,2,,3,,3,2,2,3,2,2,,,3,,3,,,3,,2,,2,,,5,,2,2,3
P10768,4,4,4,5,,4,4,,3,3,2,3,4,4,3,4,3,3,3,4,3,3,4,3,2,,2,,3,3,3,,3,3
Q99714,6,7,6,5,2,3,6,3,5,3,4,5,2,7,3,6,3,6,6,6,7,4,5,3,3,4,3,6,2,6,4,3,4,6
P02545,3,15,16,12,2,11,2,11,6,12,7,5,5,4,6,6,24,5,7,13,8,12,7,7,7,26,11,11,10,10,2,8,5,8
P05166,2,,,,2,,,,,,,,,,,2,2,,,,3,,2,,,,,,,2,,,,
P12081,2,2,2,,2,3,4,,,,2,3,,4,,2,2,,,3,,4,2,,3,,,,,,,3,,
P04040,2,5,3,3,4,,,2,4,2,3,5,,3,4,3,5,4,4,4,,2,4,3,5,5,,,6,,,3,2,5
Q6NUK1,3,,,,,2,,2,,,,2,2,,,,,3,,2,,,,2,2,,3,,,,,,2,2
P06733,5,11,9,12,6,6,9,7,7,7,7,8,5,9,,8,9,8,11,9,10,7,5,6,6,11,4,9,6,7,6,5,5,9
P21926,2,,2,2,,2,,2,2,2,,2,,2,,,3,2,,,,,2,,,,2,4,3,2,2,,2,
P62820,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Q13813,13,18,27,19,16,24,20,7,14,18,15,14,13,20,17,13,24,20,22,22,20,25,14,14,16,24,22,13,17,15,12,29,15,21
Q9NSE4,9,6,4,9,11,8,8,8,7,9,7,8,7,8,13,5,7,6,9,9,8,9,8,12,7,4,8,8,2,9,6,7,7,10
P51553,4,3,4,4,,3,,2,3,,2,2,2,3,3,4,4,,4,5,4,2,3,2,2,4,,2,,6,3,2,2,4
P07384,5,4,5,7,3,3,12,5,7,5,3,8,2,8,,4,2,5,8,10,3,,4,,4,3,,3,7,5,5,4,2,6
Q9NZN4,3,2,3,6,2,,4,6,4,7,5,6,,6,,2,5,,,4,2,5,8,,4,6,,6,5,5,5,5,2,3
P49368,2,5,5,8,3,2,6,3,,3,2,5,3,8,2,7,3,2,3,5,6,,4,3,3,4,2,4,,,2,2,4,7
Q99832,2,2,3,3,2,5,5,3,,4,2,3,2,4,2,2,2,2,,5,,3,2,3,4,,3,,,,3,,3,3
P14868,2,3,,,,,2,,,,,,,5,,,3,2,3,2,,,2,,,2,,2,,2,,,,
P23141,3,,,3,,2,,4,,,3,,3,,5,,4,,,3,,3,2,4,,5,,,3,5,,3,3,
Q96HC4,10,5,6,8,4,,6,2,6,,3,6,,8,,5,7,,4,6,7,,7,,3,3,,6,5,6,3,4,3,7
P83111,4,4,3,5,,,,,2,,,5,,4,,4,,,5,3,,,2,,,,2,2,,2,,,,6
P35241,3,4,3,6,2,3,7,3,3,,,5,2,4,2,3,3,2,3,7,3,,,2,4,3,2,4,,4,4,,2,3
Q9NUJ1,2,,,,,,3,,,,,2,,,,,2,,,,,,,,,,,,,2,,,,
Q04446,4,3,2,,,4,2,,3,2,3,,4,,4,,4,3,3,2,5,,4,3,3,,3,2,4,5,5,,3,
Q12931,3,3,2,3,2,,,,,5,2,2,,2,2,,,3,,,3,2,2,2,2,,,4,,2,,2,2,4
O75521,4,,5,2,3,2,4,2,,3,2,5,2,4,3,4,4,3,4,4,,4,4,3,3,,3,2,2,,2,3,2,
P25786,2,2,,,2,3,2,2,,,,4,,2,2,2,,,4,,2,4,,3,2,2,2,3,3,,2,,2,
P51649,3,2,3,5,2,4,4,3,3,5,2,5,4,7,5,5,5,5,5,4,3,3,3,5,3,,5,4,3,4,6,4,2,6
O43707,6,14,10,10,6,10,7,11,12,,8,7,9,7,7,10,10,10,11,6,7,10,11,3,10,17,13,8,17,12,15,11,,12
P12814,6,17,,10,6,,,10,,12,8,,,,,,,10,,7,,10,9,3,,16,12,,17,11,15,11,7,11
P30038,3,5,3,6,4,3,3,4,5,5,6,4,3,3,4,2,8,,6,4,3,3,3,3,2,2,,2,3,2,,3,3,3
Q01518,2,3,3,9,3,3,3,,2,3,2,4,,2,3,2,4,5,4,8,2,3,,2,5,4,5,2,2,,3,4,2,5
P0C0L4,8,,9,6,6,,6,5,,,6,,,4,,4,,6,,8,,,8,,11,,7,8,6,,3,,5,16
P13010,2,3,,4,,,3,,,,3,3,,4,2,3,2,4,3,3,3,,4,2,,3,,4,4,3,,,,3
Q96CM8,2,,,,2,2,3,2,,2,,,,2,3,3,,,,2,3,2,,2,4,5,,4,,,,,2,2
P29401,3,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,2,3,2,2,,
O75131,3,2,2,,,,,,,,,,,2,,2,2,,3,,2,,,,,,,,,,3,,2,3
Q8NCN5,3,,2,2,,,,3,6,3,5,4,,2,3,2,3,3,3,2,5,,3,2,2,,5,,,,5,2,2,
P21980,2,,,2,,,4,,,,,5,,8,,,,3,,6,7,,,,,,,,,,,,,3
O75027,2,,,2,,,,,2,,,,,,2,,,,,,,3,,,,,,,,,,,,
Q9NSD9,2,,,,,2,,4,2,2,3,,3,2,2,,,3,2,3,3,2,3,3,4,,2,,2,2,4,4,2,
O76041,3,8,17,9,6,6,6,8,5,6,10,5,5,9,10,10,17,8,4,8,6,11,3,8,9,6,6,6,7,8,,8,3,7
Q16134,2,3,2,4,,3,,,2,,,4,,2,,5,2,,2,4,3,,,3,,3,2,3,,4,,,3,4
O75083,3,6,5,6,3,4,5,,7,,,5,,6,2,3,3,3,3,7,7,3,2,3,4,,,4,,4,,5,,6
Q15046,2,,,3,3,,3,3,2,3,3,4,3,4,3,3,,4,3,2,4,2,2,3,3,2,2,5,,,4,3,4,3
P23526,2,2,5,2,3,3,3,2,2,3,3,5,3,3,4,4,2,3,5,4,4,2,,3,4,2,5,3,2,2,2,3,4,3
P13804,2,2,2,2,,,4,,3,,,2,,2,,4,3,,2,3,4,,2,,,3,,3,,2,3,,,2
P27824,2,4,,3,3,6,4,4,3,7,4,,3,,5,3,5,7,3,3,,3,2,3,6,,3,2,6,2,5,6,5,
Q9Y490,6,16,17,15,10,13,11,15,11,13,12,18,10,18,8,10,10,11,15,14,14,14,10,7,14,14,13,14,11,8,8,12,13,17
Q0ZGT2,2,2,2,,,2,,2,,,2,,,,3,2,3,3,,4,,4,3,,2,,3,,2,4,2,2,,2
Q6NZI2,4,5,7,8,7,6,5,6,6,6,4,4,6,6,5,7,7,7,7,5,9,6,4,6,4,13,5,9,3,4,6,3,7,6
Q14203,4,,,4,4,3,3,4,2,6,3,4,2,6,,,4,5,2,7,7,4,4,4,4,,4,3,,5,3,2,4,2
O75891,2,,4,,2,,3,,4,,5,2,,2,2,,3,3,3,4,3,4,,,4,,,,2,,2,3,2,
P06396,3,2,,2,5,,2,2,,,4,4,3,,,3,2,3,3,,3,,3,4,3,,,,4,,5,6,3,
Q2TB90,3,2,,4,2,2,2,2,2,5,3,3,,4,2,3,4,2,4,4,4,3,,2,5,4,4,3,3,5,3,3,2,2
Q96QK1,2,,,,2,2,,,,,2,,2,4,,,,,,2,,2,2,,2,,4,2,,3,,2,2,
O95140,2,,,4,,2,7,2,3,2,2,,2,2,,5,2,2,2,4,4,,3,3,3,,,,,3,,,,3
Q16531,3,2,,4,,,,,3,3,2,5,2,3,,,2,2,3,3,3,2,,,2,,,,,,4,3,,2
O60763,2,4,,,3,2,3,4,2,3,,3,3,4,3,4,,3,,,5,3,3,5,3,2,3,3,,4,,4,6,2
Q13200,2,2,,2,2,4,2,2,2,2,3,3,,7,2,,3,2,,3,,3,,4,3,,3,,,,2,2,3,
O14773,2,3,2,,3,,3,2,,,,3,,,,2,4,4,2,3,3,,,,3,2,3,3,,3,3,2,4,3
P21333,7,12,9,18,8,12,11,10,10,14,11,10,9,14,7,9,13,18,12,14,8,16,13,10,17,15,16,16,15,16,9,21,10,5
O00159,3,3,,2,3,4,2,3,,3,3,3,,3,2,,,,,3,,3,,2,2,,,,2,,2,,,2
Q9BZQ8,5,4,4,4,5,2,4,3,2,3,3,4,2,5,4,4,6,5,5,3,2,6,4,2,4,2,3,4,3,2,2,3,4,4
Q8NCA5,2,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,2,,,,
Q8WX93,3,,2,2,,3,,2,2,,,3,2,2,,5,3,,3,2,2,2,,,,2,2,3,,,,3,,2
O15083,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14624,3,6,5,3,3,5,3,5,4,5,2,7,2,4,,3,6,2,3,4,6,3,5,2,4,5,3,4,7,6,2,3,6,6
P14672,2,,,,,,4,,,,,,,3,,4,,2,,3,,,,,,,,,,2,,,,3
P13637,4,2,,2,3,2,,2,,3,,2,,2,,,,3,,2,,3,,,5,,4,,,,2,,,
O00410,2,,,3,2,,,3,,2,2,,,,2,,,,,2,2,2,3,,3,,,,,2,2,2,4,2
Q92736,11,7,7,14,13,11,19,18,15,21,21,13,19,24,14,11,11,16,6,18,15,21,15,10,9,6,14,17,5,14,16,16,22,10
Q14896,4,13,13,8,11,14,8,9,3,7,10,9,5,17,9,,22,6,20,18,13,8,3,12,4,24,9,7,11,4,5,7,5,13
P29144,2,2,2,,2,,3,,,,,2,,3,,2,,,,2,2,2,,,,,,,,,,,,
Q8IUD2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35749,4,,,13,9,13,5,6,,,7,4,4,15,2,5,,8,,4,,2,,4,14,5,4,13,6,5,3,20,3,
Q9HBL0,3,6,6,3,2,2,6,3,4,2,3,7,3,5,3,3,6,2,5,4,4,3,5,2,3,3,2,3,2,3,2,3,2,3
P01023,3,19,15,5,7,10,3,7,15,7,10,5,10,11,8,2,18,6,18,8,6,9,9,10,9,19,8,12,16,5,6,10,12,16
Q8N4C8,3,3,,4,2,2,2,4,3,2,4,5,2,4,5,,,4,5,4,3,4,4,2,4,,2,4,18,4,2,3,4,3
O94875,3,5,4,9,,,3,2,6,5,5,3,4,5,2,8,11,2,3,5,5,5,2,4,2,,2,2,5,5,4,5,,7
P20810,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
P11532,7,11,9,12,13,11,13,11,10,14,14,15,13,14,10,10,20,13,9,14,15,14,8,14,10,6,11,6,7,10,7,12,14,9
O75923,4,,,4,,2,,2,,2,3,8,5,,3,3,,5,2,2,6,5,2,,4,,,2,,,6,3,,
P35579,3,,,3,6,3,9,,,,4,,,15,,,,2,,4,2,,,,5,,,,,,2,,,
Q2M3C7,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Q01082,5,5,5,10,5,19,12,6,11,15,14,13,9,10,11,6,11,14,7,24,5,17,12,10,7,14,7,8,12,9,9,16,15,8
P07814,2,,,,2,,,4,,3,,,,,3,,,,,,,,,4,2,,,,,,,,,
P0C091,3,2,,,3,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,
Q8NDH2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WZ42,2,7,2,3,6,33,10,18,2,2,14,11,10,23,2,4,38,18,8,20,8,40,8,47,14,8,18,9,29,15,4,58,4,9
O75368,,3,2,3,,3,,,,2,,,,3,,,,3,2,2,,2,,,,7,,2,4,,3,,,
P99999,,6,5,7,6,,5,6,6,,7,4,,4,,5,4,5,4,4,5,6,,5,8,,5,4,3,,,,6,3
P17661,,14,22,6,5,21,4,5,7,12,14,2,14,3,19,,26,21,7,7,8,21,5,13,5,22,16,,27,6,11,11,10,6
P67936,,13,8,18,14,15,13,11,7,12,,15,10,16,10,16,12,11,9,13,,12,10,,14,19,9,15,15,10,14,13,7,13
P15531,,3,,2,,,2,2,3,,,,,4,,2,5,,4,,3,,,,,,,,,5,,2,,2
P13645,,21,11,13,5,3,7,3,5,2,2,8,19,25,3,20,13,8,14,14,5,19,,,4,15,,8,4,,5,3,5,9
Q8WW59,,5,4,,,,3,,,,,2,,3,,5,3,,6,4,3,,,,,3,,,2,4,,,,5
P28074,,7,6,4,,6,3,3,7,5,5,6,4,5,5,5,3,4,5,4,8,5,,5,7,4,6,10,3,,5,5,4,3
P62308,,2,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,
Q9UHV9,,2,2,2,3,2,3,4,2,3,4,3,3,2,3,,,2,2,2,4,2,,4,3,,2,2,2,,2,5,3,
P06703,,3,,3,,2,,,3,,,,2,3,,2,,2,2,,2,2,2,,2,3,2,,3,,3,3,,3
P62333,,6,4,2,2,3,5,3,4,3,5,2,3,4,4,2,6,2,3,4,4,4,2,2,3,4,5,3,2,5,3,2,5,
Q9NZN3,,12,12,13,7,5,7,,6,5,7,,8,10,8,7,7,10,9,11,12,7,,6,6,5,9,6,8,9,6,12,7,11
P56556,,3,,2,,,,,,,,2,,,,3,4,,3,3,,,3,2,,3,2,,2,4,,,2,4
O00233,,3,2,3,,2,2,,,,,,,2,,3,,2,3,4,2,2,,,,,,3,,,,,,2
P08294,,4,3,4,3,2,,,,2,,2,2,2,,2,4,2,,2,5,2,3,,,6,,5,2,3,2,3,,2
O75340,,3,,,,,,,2,,,2,3,,,,,2,,,,2,,,,,,,,,,2,2,
P22626,,6,6,6,,,6,5,2,6,2,3,4,4,2,6,6,2,8,5,5,3,4,4,3,7,7,6,3,4,3,4,2,10
Q9NR31,,2,,,,,,,3,,,3,,2,,,,,3,,2,,,,,,,,,,,,,
P36405,,3,2,3,,,2,,,,,2,,2,,,2,,3,2,,,2,,,,,,,2,,,,2
O95182,,5,6,3,,,3,,7,,2,3,,3,3,5,4,,4,,3,2,,2,2,2,,4,,3,3,2,,2
P07910,,5,3,2,,,,,,5,,,2,,,,4,,6,,,,,,,4,,3,6,,,,,
Q9NRV9,,2,2,3,,,3,,2,,3,2,2,3,,,2,2,2,,,,,,2,2,,,2,,,2,,2
Q9UKS6,,6,3,5,,4,6,,2,,,2,2,,4,3,4,4,2,2,4,,2,3,4,4,4,5,,,3,2,2,5
P00492,,3,3,3,3,3,3,2,3,3,4,5,2,3,,,,2,3,3,,4,2,3,2,5,2,3,2,4,2,3,2,
P10301,,2,,2,,,,,2,,3,,,,,3,3,,2,3,,,,,,3,,,,,,,,
O75955,,4,,2,,,,,,3,,,4,,,2,3,,,,2,2,,,,,,,3,,5,,,2
Q9Y3D9,,3,4,2,2,,4,2,4,,,3,,2,,2,,2,,2,,,2,2,2,2,,,,3,2,2,2,3
Q15327,,6,8,,,,4,,2,,,,,2,,4,8,,,5,3,3,,,,4,,6,,4,,,,
P26373,,3,,2,,,,,3,,,,,3,,,,,,4,4,,3,,2,,,,,,,,,
P46108,,4,,2,,,2,,,,,,,,,2,2,,,,,,,,,,,,,,,,,3
P10909,,7,5,4,,4,,,3,3,3,3,5,,4,,8,4,5,,,5,,3,3,8,3,3,8,2,3,3,3,6
Q9UJ70,,3,2,2,,,2,2,,,,3,,,,2,3,,4,2,,,,,2,,,,,,,,,
P05198,,3,,3,,,6,,5,,,2,,3,,5,2,,2,5,4,,3,,,,,,,4,,,,4
P07203,,2,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,2
P54819,,2,2,4,3,,3,4,3,2,3,5,,4,,6,2,4,5,2,2,2,,3,5,2,2,5,,,2,,,4
P02649,,3,6,4,,3,2,,3,3,3,,3,3,3,2,8,,8,4,,2,3,2,,5,,5,2,3,3,,2,3
Q9BUT1,,2,2,2,2,3,2,,2,,,3,2,2,3,,,3,2,2,,,,3,,,2,,,,,2,2,
O15145,,2,,,,,,,,,,2,,,,,2,,3,,,,,,,,,,,,,,,
Q13162,,4,,,3,2,6,2,,2,2,3,2,3,,,,2,6,5,,2,,,4,,2,,2,,2,2,2,3
Q9BVK6,,2,,,3,2,,,,2,,,2,,,2,2,3,3,2,2,,,3,2,,2,3,,,2,2,3,
P28072,,2,,,,3,,,,,,,,3,3,3,2,3,3,3,2,,,3,2,,2,,3,,,2,,
O94903,,2,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Q9UBW8,,2,,,,,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
Q15435,,4,4,3,,,2,2,,,,3,,3,2,4,2,3,2,3,3,2,,,2,3,2,2,2,2,2,2,2,4
P30626,,2,,,3,,2,4,,2,,,4,,,2,,2,,,2,2,,2,,,,2,,,,,,
O60749,,4,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,4,,,,
Q00059,,3,,3,3,,2,2,3,3,,3,,3,2,2,,,3,3,3,2,,,,4,2,,3,,,2,2,
Q13838,,4,2,2,,3,4,3,3,5,7,2,5,3,,,2,6,,,,,,2,2,2,4,,4,2,3,3,3,2
O00299,,2,,,,,,,2,,,,,2,,,2,,2,,,,,,2,2,,2,2,,,,,
Q99426,,2,,3,,,3,,2,,,,3,3,,,,2,,,3,2,,2,3,,,,2,,,3,,2
P09104,,10,5,4,2,4,4,,2,,3,2,2,3,,4,5,3,4,4,4,,5,,3,5,2,3,,4,2,,2,3
Q8NFV4,,2,3,2,,,4,,2,3,,,2,,,,,,,3,4,,2,2,,4,,4,,,3,,,5
Q9Y696,,3,2,3,,3,3,2,,2,3,3,,4,,,,3,,2,,3,,,2,,,,3,,3,3,3,2
Q9HB71,,2,,4,,,,3,4,2,2,3,,5,,3,,,,2,2,,,,2,,,2,,,,,,2
P58876,,2,,,,,,2,2,,,,,,,,2,,4,,,,,,,,,,2,2,,,,2
Q15063,,11,13,4,,4,4,,6,5,6,3,5,3,,,12,5,7,3,6,5,7,2,5,5,3,2,7,10,5,7,5,2
Q15006,,3,2,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,
Q9NQR4,,2,6,,2,,4,3,,,2,4,2,5,3,2,2,2,4,3,3,2,,4,3,,2,,2,,2,,2,3
Q9UKU7,,4,2,4,2,4,3,4,5,4,4,4,3,4,4,3,4,3,4,2,2,3,4,4,4,3,4,,4,3,4,3,3,4
Q9BUF5,,3,3,4,3,,3,3,,3,2,4,4,4,,3,4,3,4,3,3,,5,,2,5,2,4,,4,3,3,,3
Q9UBR2,,2,4,3,2,3,,,2,2,2,3,,3,2,,,2,3,2,,,3,,2,,,,2,3,3,2,2,2
Q969G5,,2,2,3,,2,,,,2,2,,2,2,,2,3,,2,2,,3,3,,,7,,4,,,3,2,,
P05546,,7,,,,2,,,3,2,3,,,,,,3,2,,2,,2,3,2,,3,,,7,,,3,2,3
P60891,,3,3,5,,2,,,4,,2,2,,3,,3,2,,2,3,,,,,2,2,3,2,,,,2,2,3
Q9BRF8,,2,,,,2,,,,2,2,,2,,,,2,,4,2,,,,2,,,2,,3,,2,2,,
