,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
P63092,,,,2,2,,4,,,,3,4,2,,,,,2,,2,,,,2,2,,2,,,2,3,,2,
Q5JWF2,,,,2,2,,4,,,,3,4,2,,,,,2,,2,,,,2,2,,2,,,2,3,,2,
Q9H2U2,,,,2,2,2,2,,,2,2,2,2,,,2,,2,,,,2,,,3,,2,,3,,3,2,2,
Q9NZA1,,,,3,,2,,2,4,3,3,,2,,,,,2,,,,2,,,3,,4,,2,,3,2,3,
Q8N8N7,,,,2,,2,,,,3,,,,3,,3,,,2,2,2,,,,3,,,,,,,3,,3
P54725,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54727,,,,2,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,
Q8TCS8,,,,3,,,2,,2,,,,,2,,,2,,,,,,,,,,,,,,,,,2
P12694,,,,5,,3,,,,,,,,4,,,,4,,,,,,5,4,3,,2,,,3,,3,
P50579,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P0V9,,,,2,,,,,,,,,,,,2,,,,,2,,,,,2,,3,,,,,,
Q02750,,,,2,2,,,,,,,2,,2,,,,2,,,,,,,2,,,,,,,,,
P30837,,,,3,,,2,,,3,,2,,,,,,4,,2,2,2,,,,2,,,,2,3,,,
P61978,,,,2,,,,,4,,,2,2,2,2,,2,,,,,,,,2,,,,,,2,,2,
P17858,,,,3,,,5,,,,,,,,,,,,,3,,,,,,,,,3,,,,,
P80404,,,,4,,4,3,2,2,4,3,3,7,,5,,5,5,2,4,7,4,,5,2,6,,4,3,,7,4,4,
O43852,,,,2,,,2,,2,,2,,,,,,,3,,,,,,3,,2,,,,,2,,,2
Q96CW1,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Q9H9L3,,,,2,,,,,,,,2,,2,,,,,,3,,,,,,2,,,,2,,,,
Q8IXI1,,,,2,,2,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,
Q9NVH6,,,,2,,,,2,,2,2,,,,,,,,,,,3,,,,,,2,,2,,,,2
P13798,,,,2,2,3,,3,,,2,3,2,4,,,,2,,,5,,2,2,2,2,2,3,2,3,2,,2,2
Q9UPQ0,,,,3,,,,,,,2,,,,,,,,,,,2,,,,,2,,,,,2,,
Q16881,,,,3,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,2
O95834,,,,2,2,,2,,,2,2,3,,3,2,,2,3,,3,,2,,,3,,,,,,2,,,
P11940,,,,2,,,,,,2,,,,,,,2,2,2,,,2,,,2,,,7,,,2,,,
Q5C9Z4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17655,,,,2,2,2,,,,2,,,,,,,2,,,2,,,,,3,,2,,,3,2,3,,
Q68DU8,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96CX2,,,,2,,,2,,,,,2,,3,,,2,,,,,,2,,,2,,2,2,,,,,
Q9UHD8,,,,2,,,2,,2,,,2,,3,,,,,,2,,,3,,3,,,,,2,,,,2
Q13148,,,,2,,,,4,,,,3,,2,,,,2,,,,,,,2,,2,,,,,,,
Q92598,,,,2,,2,2,,,,,,,4,,,,,,2,,,,,,,,,,,2,,,
O00423,,,,2,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q13617,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NUT2,,,,2,3,,,,,5,,2,,,,,,,,2,,,,,,,3,,,,,,3,
Q9NYF0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55209,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,
O75439,,,,2,3,3,2,2,3,2,,3,,,,2,,2,,3,3,4,,2,3,,,,2,3,3,3,2,3
P63010,,,,2,,,,2,2,,,2,,,,3,,,,3,2,,2,,2,,,,,,,,,
Q10567,,,,2,,,,,2,,,2,,,,3,,,,,,,,,,,,,,,,,,
P23634,,,,3,,2,,,,3,4,,,,,,,,,4,2,3,,,,2,,,,,,4,,
O14841,,,,2,,,2,,,,,,,5,,,,,,2,2,,,,3,,,2,,,2,,,
Q86TC9,,,,2,,2,,,,,,2,2,,,,,,,,,,,4,3,,2,,,,,,2,
Q5VYK3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99996,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2D7,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
P49789,,,,,4,,,3,,3,,,3,,3,,,5,,,,,,,2,,,,,,2,,,
Q96FQ6,,,,,2,,,3,,,,,,,,2,,,2,,,,,2,2,,,,,4,,2,,
P14621,,,,,2,4,,,,,3,,4,2,2,4,3,3,3,,,3,,4,2,,2,2,,3,2,2,3,2
Q15370,,,,,3,2,,2,,2,2,,,,2,,,4,,,2,2,3,2,2,2,3,,2,2,5,,2,
P12829,,,,,3,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,
Q9BRX8,,,,,4,,2,2,,,,,,2,,,,,2,,2,,2,,,2,,2,,2,,,,
Q8WUD1,,,,,2,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
Q15631,,,,,3,4,,2,,3,6,,2,,,,2,4,,,,3,,2,4,,4,,,,,4,5,
P23919,,,,,3,,,,,,,,2,,2,,,2,,,,,,2,,,,,,,,,2,
P28289,,,,,3,3,2,,,,3,,7,6,,,,2,,,5,,,,2,,,,,,2,,,
Q9UL25,,,,,2,2,2,4,2,4,4,3,2,,3,,2,3,,2,2,4,,2,3,,2,2,,,4,2,4,
Q15369,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q9NTX5,,,,,2,,,,,,3,2,,,2,2,,2,,,,,,,,2,,,,,,,,
Q96MF6,,,,,2,,3,,,2,,,,,,,,2,,2,2,,,,3,,,,,,,,,2
Q9NVS9,,,,,2,,,2,,,2,,2,,,,,,,,,2,,,3,,2,,,,2,,,
Q9NXA8,,,,,2,2,,2,,2,,,,2,,2,,2,,,,,,,,,,,,,2,,2,
Q8NC51,,,,,2,,,,,2,,,,,,,,3,,,,,,,2,,,,,,2,,,
Q9NTG7,,,,,2,,,2,,2,4,,,,,,,,2,,,,,,2,3,,,,,,,,
Q9Y5X3,,,,,3,3,,3,,4,3,,2,,,,,2,,,,2,,,2,,2,3,,,3,2,3,
P61160,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,
P54578,,,,,2,,2,,,2,,,,,,2,,,,,,,,,,,,4,,,,,,2
P48163,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9P1U1,,,,,2,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,
Q92905,,,,,2,3,2,3,,4,3,2,2,,,2,,3,2,,2,2,,3,3,2,,3,3,,2,2,2,
Q6PIU2,,,,,2,2,5,2,,2,,6,,5,2,,,2,,,2,,,2,3,,3,2,,,,4,2,3
P50336,,,,,2,,,,,2,,,,,,,,2,,3,,,,,2,,,,,,3,2,,
O95822,,,,,2,2,,5,,,,3,,3,2,,2,,,,,,,3,,,,,,,,,2,
Q9Y6E2,,,,,2,2,,,2,2,2,3,2,2,2,,2,3,2,,,,,,,,2,3,,2,2,2,2,
O94788,,,,,2,,,,,,,,2,,,,,2,,,,,,2,,,,,,,,,,
Q86TP1,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q16576,,,,,2,,,,,,,2,,,,2,2,,2,2,,,,,2,,,,,,,3,,
Q15070,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
P39656,,,,,2,2,2,3,,3,2,,3,,2,,2,5,,2,2,2,,,3,,3,2,2,,,3,3,2
P48637,,,,,2,,,,,,3,,,,2,,,,2,,,2,,,2,3,,2,3,,2,,,
Q13057,,,,,2,,,,,,,,,,,,,3,,,,2,,,2,,,,,,,,3,
Q8IXI2,,,,,2,2,,,,4,2,,,,2,,,2,,,,3,,,2,,2,,,,,2,,
Q08043,,,,,4,5,,7,,,5,,,,,,,,,,,6,,,4,,,,9,,8,7,3,
P04844,,,,,2,,,,,,,2,,,3,,,2,,,,,,2,,,,,,,,,,
A1L0T0,,,,,2,4,,2,,4,4,,3,,4,,,5,,,,4,,,3,,,,,,4,3,3,
Q5JRX3,,,,,3,3,,,,2,,,2,,3,,,2,,,2,6,,,,2,,2,3,,2,3,2,
P55884,,,,,2,,,,,,3,,,,,,,2,,,,2,,3,2,,,,2,,,3,2,
Q9UIQ6,,,,,4,,,,,2,,2,2,,,,,2,,5,,,,,,,,,,,4,,2,2
Q13554,,,,,2,,,3,,2,,2,,,,,,2,,,,,,3,,,,,,,3,3,,
Q13557,,,,,2,3,,4,,2,5,3,4,,2,,3,2,,,,2,,3,3,,,,2,,3,5,,
Q93034,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,2,,,,,,,
P26639,,,,,2,,2,2,,,,,,2,3,,,2,,,,2,,2,,,,,,,,2,,
P34949,,,,,2,,,2,,,,,,3,,2,,,2,2,,,,,2,,,,,,,,,
Q9Y678,,,,,2,3,,2,,3,2,,2,,,,,3,,2,,3,2,2,5,,2,,2,,4,2,2,
P10643,,,,,2,2,,,,3,,,,,,,4,,,,,,4,,,4,,,2,,2,2,,
Q9NVE7,,,,,2,,3,3,2,,3,3,,4,,3,,2,,2,2,,,,,,2,,,,2,,2,2
Q8NE71,,,,,2,3,,,,2,,,,,,,,2,,2,,2,,2,2,,,2,3,,3,,,
O43491,,,,,3,,,,,,,,,,,,,4,,,,2,,,,2,2,,,,3,3,,
O94973,,,,,2,,,2,,,2,,,,,,,,,,,,,,2,2,,,,,,,,
O95782,,,,,2,,2,2,,4,2,3,,,,,,2,,2,,,,,2,2,,,,,,3,,
P53621,,,,,2,3,2,,,,2,2,2,,,,,3,,3,3,,,,3,,,,2,,3,3,5,
Q92878,,,,,2,,,,,,2,,,,,,2,2,,,,2,,,,3,3,,,,3,2,2,
O75369,,,,,6,6,7,7,,,,,,8,,,,,10,14,11,7,4,6,9,8,,9,,,,,6,
Q9UKL3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78527,,,,,2,2,,4,,5,3,,2,,,,,3,,,,,,2,3,2,,,,,,4,2,
Q9NZJ4,,,,,4,,,3,,,,,,,,,,3,,,,2,,,3,,,,,,,,,
Q8TDW7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15847,,,,,,4,,2,,3,3,4,,,,2,2,,,2,,5,,,2,2,,,,,,,,
Q8WVP5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62491,,,,,,2,,4,,3,3,,2,,3,,,2,,,,3,,5,3,,5,,2,,2,3,2,
Q9UII2,,,,,,3,,2,,3,2,,,3,,,,,,,,,,,2,3,,,,,3,,2,
P02753,,,,,,3,,,3,3,2,,,,,,3,2,,,,3,,,,4,2,,3,,3,3,,
Q9H8M1,,,,,,3,,,,,,,,,,,,,,,,3,2,,3,,,,,,,2,2,2
P14678,,,,,,2,,,,2,,,,,,,,2,,,,,,2,,,,,,,,2,,
P28066,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,4,,,4,
Q01105,,,,,,2,,2,,,2,,,,,,,,,,,,3,,,,,,,2,,,,
P51665,,,,,,2,,,,2,,2,,,,,3,3,,,,,2,2,,3,,2,,2,3,,,
O95865,,,,,,2,,,,,3,,,,,,,,,,3,,,,,,,,2,,,3,,
Q16595,,,,,,2,,2,,2,2,,3,,,2,,,,,,2,,3,,,,,,,2,,,
P47756,,,,,,3,,,,,,,2,,,,,4,,,,,,,2,,,,,,,,,
P36959,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02760,,,,,,3,,,,,,,,,3,,,,2,,3,,,,2,5,3,,4,,3,3,,
P62424,,,,,,2,,,,,,,3,,3,,,2,2,,,,2,3,3,,3,2,2,2,,,4,
Q13825,,,,,,2,,3,3,,2,4,,3,,3,,2,3,,3,,,,,,,,,,,,,2
Q15119,,,,,,2,,3,3,4,3,2,,,,3,,,,,,,,,,,,,,3,,,3,
Q9HAT2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,
P07099,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H5N1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZVM7,,,,,,3,,,,3,,,,,,2,,,,,2,,,,,,,2,,,2,2,,
Q96AN5,,,,,,2,,,,3,,2,2,,,,,4,2,,,,,,,,,,,,2,,3,3
P00966,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
Q92747,,,,,,3,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,
P36578,,,,,,3,,2,2,4,2,,2,,2,,,2,,,,2,,2,2,,,,4,,3,3,3,
O60506,,,,,,2,2,,,4,3,,2,,,,,3,,,,,,,,,,2,,,3,3,3,
P61764,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,
O43390,,,,,,3,,,,,,,2,,,,,2,,,,,,,,3,,4,,,,,3,
P05156,,,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,3,2
Q8N3X6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13098,,,,,,2,2,,,,,,,,,,2,,,,,3,,,,,,,,,,,,
P04899,,,,,,2,,2,,,,2,,3,,3,,2,3,3,,3,,2,4,,4,,,3,2,2,2,
P63096,,,,,,2,,,,,,2,,3,,3,,2,3,3,,,,2,,,,,,3,2,2,2,
P09471,,,,,,2,,,,,,2,,3,,3,,2,3,3,,,,2,,,,,,3,2,2,2,
P08754,,,,,,2,,,,,,2,,3,,3,,2,3,3,,,,2,,,,,,3,2,2,2,
Q96MM6,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q13263,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Q5VTT5,,,,,,3,,2,,2,,,2,,,,,2,,,2,8,,3,,,2,,3,,,2,,
P53985,,,,,,2,,,,,,,2,,2,,,2,,,5,2,,2,,,,2,2,,,2,2,
O95197,,,,,,2,,,,2,,,,,,,,3,,,3,2,,,,,,,,,,,2,
O14980,,,,,,2,3,3,,3,4,,2,,,,,,,2,,2,,,2,,,,,,3,2,2,
Q9P2J5,,,,,,2,,2,,2,,2,2,,,,,2,,,,2,3,2,2,,,2,,,,,2,
Q9NQC3,,,,,,2,,,,2,,,,,,,2,2,,,,,2,2,4,2,,,2,3,4,,,2
Q6WKZ4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5JR59,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
P20020,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16720,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Q01814,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95425,,,,,,3,,,,2,2,,3,,,,2,,,,2,4,2,2,,,,,,,,3,2,
P46821,,,,,,3,,3,,,,,,,,,,2,2,,3,2,,,,4,,,4,,,4,,
P11388,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Q7Z6B7,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32418,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,
O75179,,,,,,3,2,2,,,2,,3,,,,,2,,,,,,2,,,,,,,2,2,,
P46939,,,,,,2,,,,2,,,3,,2,,,4,,,,3,,,2,,4,,,,,4,3,
Q5VST9,,,,,,2,,,2,3,2,4,,2,2,,,,,2,,2,,2,,4,3,,,,,3,,
Q13232,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Q96GC5,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Q12988,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NP72,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68104,,,,,,,11,6,,,,10,6,,,,11,9,,,,,8,,11,,7,,7,9,10,8,9,
Q96IU4,,,,,,,2,,2,,,,,,,,3,,,,,,,,,4,,,,3,,,,
P16083,,,,,,,3,,,,,,2,,2,2,2,2,3,2,3,,2,2,,2,4,2,,,2,,,
O75832,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
O75380,,,,,,,2,,,,,,,2,,2,2,,,,,,,,,,,,,,,,,
P62241,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,4,,,,2
P30405,,,,,,,2,,,2,2,,,,,3,2,,,2,2,3,3,,,3,,,,5,,,,
P14550,,,,,,,3,,,,,,,4,,4,,,,,2,,,,,2,,2,,,,,,
P46926,,,,,,,3,,,,,2,,2,,,,,,2,,,,,,,,,,2,,,,
Q9Y639,,,,,,,2,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
Q14141,,,,,,,2,,,,,,,2,,,,,,3,,,,,,2,,,,,,,,
Q9NVA2,,,,,,,2,,,,,,,2,,,3,,,,,2,,,,2,,,2,,,,,
Q92629,,,,,,,2,,,,,,,2,,,,,,2,2,,,,,,,,,,,,,
P54136,,,,,,,3,,2,3,,,2,2,3,,2,3,,4,3,,,,,2,,2,,2,3,,3,2
Q13619,,,,,,,2,,2,,,2,,3,,,,,,2,4,,,,,,2,,2,,,2,,
Q13620,,,,,,,2,,2,,,,,,,,,,,2,4,,,,,,,,,,,,,
P05556,,,,,,,2,3,2,,,3,,,,,4,2,2,3,,2,3,3,5,2,,,3,,2,3,3,2
Q13451,,,,,,,2,,,,,,,3,,,,,2,2,,,,,3,,,,,,,,,
Q86UT6,,,,,,,3,3,2,,,3,,,,,,,,,,,,,,,,,,,,,,
P41252,,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,
O75153,,,,,,,2,,,,,2,,,,,,,,,2,,,,,,2,,,,,,,2
Q8IWJ2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
O95347,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
P30273,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P61604,,,,,,,,6,,,,,,,,8,,,9,,11,,,,,6,,11,,4,,,,6
P62851,,,,,,,,2,,2,,,,,,,,,2,2,2,,2,,2,,,,,,,,2,
P59998,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P61106,,,,,,,,3,,3,2,,,,,,,,,,,,,2,3,,,,,,2,2,,
P46781,,,,,,,,2,,2,2,,,2,,,,,,2,,,,,,,,,2,2,,2,,2
Q03135,,,,,,,,2,,,,,,,,,,,,,,2,,,,,2,2,,,,,,
P02794,,,,,,,,2,,,,,,,,,,,2,,,,,,2,,,,,,,2,,
Q02543,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P27635,,,,,,,,2,,5,2,,,,,,,3,,,,2,,,3,,,,3,,3,3,,
P62081,,,,,,,,2,,2,,,,,,,2,2,,,,2,2,,2,,,,,,2,,,
Q5VWZ2,,,,,,,,4,,,4,2,,,,,,,,,,,,,,,,,,,,,,
P62993,,,,,,,,2,,,2,,,,2,,,2,,,,,,,2,,,,,,,,,
P04179,,,,,,,,3,,2,,,,,,,,,,,3,,,,,,,,,,,,,
Q6IQ22,,,,,,,,2,,2,,,,,2,,,2,,,,,,,,,3,,,,,2,,
P09417,,,,,,,,2,,2,,,,,,,,,,,,,,,,,2,,,,,,,
Q99436,,,,,,,,2,,,2,,,,2,,,,,,,,,,4,,,,,,,2,,
Q9Y266,,,,,,,,2,,,2,,,,,,,3,,,,,,,3,,3,,,,3,,,
Q15008,,,,,,,,2,,,,3,,,,,,,,,,,,,2,,,,,,,2,,
P22352,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WW22,,,,,,,,2,,,3,,,,,,,,,,,,,,2,,,,,,,2,,
Q9NZL4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IW45,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
Q16543,,,,,,,,2,,,,,,2,,,,,,,,,,2,,,,,,,,,,
Q9UKP3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99816,,,,,,,,2,,2,2,,2,,,,,,,,,,,2,,,,,,,2,,,
Q16654,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
Q9NPH2,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,2,,,,,3,,2
Q9NVD7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
O60669,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,2,,,
P12757,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BYV7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15833,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P17813,,,,,,,,2,,,2,,,2,,,,,,,,,,,2,,,,,,,,,
Q05086,,,,,,,,2,,,,2,2,,,,,,,3,,,2,,,,,,,,,2,,
Q9UBK2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NRX5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,
Q92499,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,
Q9UDT6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7KZF4,,,,,,,,2,,,,,2,2,,,,,,,,,,2,2,,,2,,,2,,,
P02786,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,2,,
A5PLK6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P30876,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BSJ8,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7L576,,,,,,,,3,,2,2,,2,,,,,2,,2,,,,,2,,,,,,,4,,
Q96F07,,,,,,,,3,,2,2,,2,,,,,2,,2,,,,,2,,,,,,,4,,
P22897,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,
Q04637,,,,,,,,2,,,,,,3,,,,,,3,,2,,,4,,,,,,,,,
Q9C093,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,2,
Q12830,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
P37840,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,3,,2,3,,
P0C0S5,,,,,,,,,3,,,2,,,,3,,2,,,2,,,,,,,,,,,,,
O14818,,,,,,,,,2,4,,,,,2,2,,,,,,,,2,,,2,,2,,2,,,
O43765,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UBQ0,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,
Q6DD88,,,,,,,,,2,4,,,,,,,,,,,,,,,,3,,2,,,,,,
P25325,,,,,,,,,3,,,2,,5,2,5,,,,,,,,,,,,2,,,,,,
O60825,,,,,,,,,3,,,2,,,,,,,,,3,,,,,,,,2,,,,,
Q7L1Q6,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,
P20591,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UQ16,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,
Q05193,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,
Q96RQ3,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,2
P55060,,,,,,,,,2,,,,,,,,,,,,,2,,,2,,,,,,,,2,
Q9C0C9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
P11277,,,,,,,,,2,2,3,,2,,2,,,3,,,,2,,3,2,,3,,5,,,,3,
Q07157,,,,,,,,,2,,2,,,,,,,,,,2,,,,2,,,,,,,,,
Q9H254,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,
Q6KC79,,,,,,,,,2,,,3,,,3,2,,,,,4,,,,,,3,3,,,,,,
Q99584,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
P63173,,,,,,,,,,4,,,,,,,,3,,,,2,,2,3,,2,,,,,3,2,
P61626,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
P22392,,,,,,,,,,2,,,,4,,,,,,,,,,,4,,,,,4,2,2,2,
P20340,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q7L9L4,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
Q9H8S9,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
P58546,,,,,,,,,,2,,,,,,,,,,,2,2,,2,,2,,,,,,,,
Q96H20,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,
Q9Y3B3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,
P31942,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
P04632,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,
O15173,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q9NZ01,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,,,,,,,
Q5TEU4,,,,,,,,,,2,,,,,,,,,,,,2,,,,,2,,,,2,,,
O60664,,,,,,,,,,2,,,,,,,,,,,2,,,,,,2,,2,,,,,
Q4G0F5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q9NUU7,,,,,,,,,,3,3,,,,2,,,,,,2,2,,,,,,,,,3,,,
Q9UMR2,,,,,,,,,,3,3,,,,2,,,,,,,2,,,,,,,,,,,,
P24158,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,4,,,,,
Q13618,,,,,,,,,,3,2,2,,,,,,,,,,3,,,,,,,,,,2,,
Q15172,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
P06865,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q08752,,,,,,,,,,2,2,,,,,,,,,,,2,,,,,,,,,,,,
P07686,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,
Q9BZZ5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q9NVH1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
P20700,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,
P50895,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Q96G03,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
P07948,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
